name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
LI1	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI2	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI3	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI4	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI5	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI6	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI7	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI8	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI9	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI10	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI11	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI12	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI13	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI14	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI15	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI16	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI17	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI18	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LQS1	SEEG	V	n/a	n/a	LQS	1000	depth	n/a
LQS2	SEEG	V	n/a	n/a	LQS	1000	depth	n/a
LQS3	SEEG	V	n/a	n/a	LQS	1000	depth	n/a
LQS4	SEEG	V	n/a	n/a	LQS	1000	depth	n/a
LQS5	SEEG	V	n/a	n/a	LQS	1000	depth	n/a
LQI1	SEEG	V	n/a	n/a	LQI	1000	depth	n/a
LQI2	SEEG	V	n/a	n/a	LQI	1000	depth	n/a
LQI3	SEEG	V	n/a	n/a	LQI	1000	depth	n/a
LQI4	SEEG	V	n/a	n/a	LQI	1000	depth	n/a
LQI5	SEEG	V	n/a	n/a	LQI	1000	depth	n/a
LQI6	SEEG	V	n/a	n/a	LQI	1000	depth	n/a
LQI7	SEEG	V	n/a	n/a	LQI	1000	depth	n/a
LQI8	SEEG	V	n/a	n/a	LQI	1000	depth	n/a
LQI9	SEEG	V	n/a	n/a	LQI	1000	depth	n/a
LQI10	SEEG	V	n/a	n/a	LQI	1000	depth	n/a
RD1	SEEG	V	n/a	n/a	RD	1000	depth	n/a
RD2	SEEG	V	n/a	n/a	RD	1000	depth	n/a
RD3	SEEG	V	n/a	n/a	RD	1000	depth	n/a
RD4	SEEG	V	n/a	n/a	RD	1000	depth	n/a
RD5	SEEG	V	n/a	n/a	RD	1000	depth	n/a
RD6	SEEG	V	n/a	n/a	RD	1000	depth	n/a
RD7	SEEG	V	n/a	n/a	RD	1000	depth	n/a
RD8	SEEG	V	n/a	n/a	RD	1000	depth	n/a
RD9	SEEG	V	n/a	n/a	RD	1000	depth	n/a
RD10	SEEG	V	n/a	n/a	RD	1000	depth	n/a
RD11	SEEG	V	n/a	n/a	RD	1000	depth	n/a
RD12	SEEG	V	n/a	n/a	RD	1000	depth	n/a
RD13	SEEG	V	n/a	n/a	RD	1000	depth	n/a
RD14	SEEG	V	n/a	n/a	RD	1000	depth	n/a
RD15	SEEG	V	n/a	n/a	RD	1000	depth	n/a
RC1	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC2	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC3	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC4	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC5	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC6	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC7	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC8	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC9	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC10	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC11	SEEG	V	n/a	n/a	RC	1000	depth	n/a
RC12	SEEG	V	n/a	n/a	RC	1000	depth	n/a
LQA1	SEEG	V	n/a	n/a	LQA	1000	depth	n/a
LQA2	SEEG	V	n/a	n/a	LQA	1000	depth	n/a
LQA3	SEEG	V	n/a	n/a	LQA	1000	depth	n/a
LQA4	SEEG	V	n/a	n/a	LQA	1000	depth	n/a
LQA5	SEEG	V	n/a	n/a	LQA	1000	depth	n/a
LQA6	SEEG	V	n/a	n/a	LQA	1000	depth	n/a
LQA7	SEEG	V	n/a	n/a	LQA	1000	depth	n/a
LQA8	SEEG	V	n/a	n/a	LQA	1000	depth	n/a
RB1	SEEG	V	n/a	n/a	RB	1000	depth	n/a
RB2	SEEG	V	n/a	n/a	RB	1000	depth	n/a
