name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
H'3-H'4	SEEG	V	n/a	n/a	bipolar	H'	2048	depth	n/a
H'4-H'5	SEEG	V	n/a	n/a	bipolar	H'	2048	depth	n/a
H'5-H'6	SEEG	V	n/a	n/a	bipolar	H'	2048	depth	n/a
H'6-H'7	SEEG	V	n/a	n/a	bipolar	H'	2048	depth	n/a
H'7-H'8	SEEG	V	n/a	n/a	bipolar	H'	2048	depth	n/a
I'1-I'2	SEEG	V	n/a	n/a	bipolar	I'	2048	depth	n/a
I'2-I'3	SEEG	V	n/a	n/a	bipolar	I'	2048	depth	n/a
I'3-I'4	SEEG	V	n/a	n/a	bipolar	I'	2048	depth	n/a
I'4-I'5	SEEG	V	n/a	n/a	bipolar	I'	2048	depth	n/a
I'5-I'6	SEEG	V	n/a	n/a	bipolar	I'	2048	depth	n/a
I'6-I'7	SEEG	V	n/a	n/a	bipolar	I'	2048	depth	n/a
I'7-I'8	SEEG	V	n/a	n/a	bipolar	I'	2048	depth	n/a
J'1-J'2	SEEG	V	n/a	n/a	bipolar	J'	2048	depth	n/a
J'2-J'3	SEEG	V	n/a	n/a	bipolar	J'	2048	depth	n/a
J'3-J'4	SEEG	V	n/a	n/a	bipolar	J'	2048	depth	n/a
J'4-J'5	SEEG	V	n/a	n/a	bipolar	J'	2048	depth	n/a
J'5-J'6	SEEG	V	n/a	n/a	bipolar	J'	2048	depth	n/a
J'6-J'7	SEEG	V	n/a	n/a	bipolar	J'	2048	depth	n/a
J'7-J'8	SEEG	V	n/a	n/a	bipolar	J'	2048	depth	n/a
J'8-J'9	SEEG	V	n/a	n/a	bipolar	J'	2048	depth	n/a
J'10-J'11	SEEG	V	n/a	n/a	bipolar	J'	2048	depth	n/a
J'10-J'9	SEEG	V	n/a	n/a	bipolar	J'	2048	depth	n/a
J'11-J'12	SEEG	V	n/a	n/a	bipolar	J'	2048	depth	n/a
J'12-J'13	SEEG	V	n/a	n/a	bipolar	J'	2048	depth	n/a
J'13-J'14	SEEG	V	n/a	n/a	bipolar	J'	2048	depth	n/a
J'14-J'15	SEEG	V	n/a	n/a	bipolar	J'	2048	depth	n/a
K'1-K'2	SEEG	V	n/a	n/a	bipolar	K'	2048	depth	n/a
K'2-K'3	SEEG	V	n/a	n/a	bipolar	K'	2048	depth	n/a
K'3-K'4	SEEG	V	n/a	n/a	bipolar	K'	2048	depth	n/a
K'4-K'5	SEEG	V	n/a	n/a	bipolar	K'	2048	depth	n/a
K'5-K'6	SEEG	V	n/a	n/a	bipolar	K'	2048	depth	n/a
K'6-K'7	SEEG	V	n/a	n/a	bipolar	K'	2048	depth	n/a
K'7-K'8	SEEG	V	n/a	n/a	bipolar	K'	2048	depth	n/a
K'8-K'9	SEEG	V	n/a	n/a	bipolar	K'	2048	depth	n/a
K'10-K'11	SEEG	V	n/a	n/a	bipolar	K'	2048	depth	n/a
K'10-K'9	SEEG	V	n/a	n/a	bipolar	K'	2048	depth	n/a
K'11-K'12	SEEG	V	n/a	n/a	bipolar	K'	2048	depth	n/a
A1-A2	SEEG	V	n/a	n/a	bipolar	A	2048	depth	n/a
A2-A3	SEEG	V	n/a	n/a	bipolar	A	2048	depth	n/a
A3-A4	SEEG	V	n/a	n/a	bipolar	A	2048	depth	n/a
A4-A5	SEEG	V	n/a	n/a	bipolar	A	2048	depth	n/a
A5-A6	SEEG	V	n/a	n/a	bipolar	A	2048	depth	n/a
A6-A7	SEEG	V	n/a	n/a	bipolar	A	2048	depth	n/a
A7-A8	SEEG	V	n/a	n/a	bipolar	A	2048	depth	n/a
A8-A9	SEEG	V	n/a	n/a	bipolar	A	2048	depth	n/a
A10-A9	SEEG	V	n/a	n/a	bipolar	A	2048	depth	n/a
A10-A11	SEEG	V	n/a	n/a	bipolar	A	2048	depth	n/a
A11-A12	SEEG	V	n/a	n/a	bipolar	A	2048	depth	n/a
B1-B2	SEEG	V	n/a	n/a	bipolar	B	2048	depth	n/a
B2-B3	SEEG	V	n/a	n/a	bipolar	B	2048	depth	n/a
B3-B4	SEEG	V	n/a	n/a	bipolar	B	2048	depth	n/a
