name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
17Ld5	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
17Ld6	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
17Ld7	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
17Ld8	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
17Ld9	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
17Ld10	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
17Ld11	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
17Ld12	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
19Ld1	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
19Ld2	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
19Ld3	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
19Ld4	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
19Ld5	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
19Ld6	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
19Ld7	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
19Ld8	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
19Ld9	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
19Ld10	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
19Ld11	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
19Ld12	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
21Ld1	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
21Ld2	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
21Ld3	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
21Ld4	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
21Ld5	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
21Ld6	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
21Ld7	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
21Ld8	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
23Ld1	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
23Ld2	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
23Ld3	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
23Ld4	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
23Ld5	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
23Ld6	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
