name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
14Rd12	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
14Rd13	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
14Rd14	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
14Rd15	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
16Rd1	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
16Rd2	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
16Rd3	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
16Rd4	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
16Rd5	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
16Rd6	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
16Rd7	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
16Rd8	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
16Rd9	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
16Rd10	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
18Rd1	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
18Rd2	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
18Rd3	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
18Rd4	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
18Rd5	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
18Rd6	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
18Rd7	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
18Rd8	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
20Rd1	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
20Rd2	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
20Rd3	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
20Rd4	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
20Rd5	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
20Rd6	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
20Rd7	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
20Rd8	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
22Rd1	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
22Rd2	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
22Rd3	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
22Rd4	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
22Rd5	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
22Rd6	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
22Rd7	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
22Rd8	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
22Rd9	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
22Rd10	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
22Rd11	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
22Rd12	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
22Rd13	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
22Rd14	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
22Rd15	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
26Rd1	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
26Rd2	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
26Rd3	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
26Rd4	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
26Rd5	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
26Rd6	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
26Rd7	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
26Rd8	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
26Rd9	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
26Rd10	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
26Rd11	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
26Rd12	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
26Rd13	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
26Rd14	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
26Rd15	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
1Ld1	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
1Ld2	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
1Ld3	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
1Ld4	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
1Ld5	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
1Ld6	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
1Ld7	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
1Ld8	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
1Ld9	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
1Ld10	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
1Ld11	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
1Ld12	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
3Ld1	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
3Ld2	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
3Ld3	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
3Ld4	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
3Ld5	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
3Ld6	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
3Ld7	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
3Ld8	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
3Ld9	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
3Ld10	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
3Ld11	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
3Ld12	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
5Ld1	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
5Ld2	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
5Ld3	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
5Ld4	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
5Ld5	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
5Ld6	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
5Ld7	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
5Ld8	SEEG	V	n/a	n/a	Ld	1024	depth	n/a
