name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
A'1	SEEG	V	n/a	n/a	A'	1000	depth	n/a
A'2	SEEG	V	n/a	n/a	A'	1000	depth	n/a
A'3	SEEG	V	n/a	n/a	A'	1000	depth	n/a
A'4	SEEG	V	n/a	n/a	A'	1000	depth	n/a
A'5	SEEG	V	n/a	n/a	A'	1000	depth	n/a
A'6	SEEG	V	n/a	n/a	A'	1000	depth	n/a
A'7	SEEG	V	n/a	n/a	A'	1000	depth	n/a
A'8	SEEG	V	n/a	n/a	A'	1000	depth	n/a
A'9	SEEG	V	n/a	n/a	A'	1000	depth	n/a
A'10	SEEG	V	n/a	n/a	A'	1000	depth	n/a
A'11	SEEG	V	n/a	n/a	A'	1000	depth	n/a
A'12	SEEG	V	n/a	n/a	A'	1000	depth	n/a
A'13	SEEG	V	n/a	n/a	A'	1000	depth	n/a
A'14	SEEG	V	n/a	n/a	A'	1000	depth	n/a
A'15	SEEG	V	n/a	n/a	A'	1000	depth	n/a
E'1	SEEG	V	n/a	n/a	E'	1000	depth	n/a
E'2	SEEG	V	n/a	n/a	E'	1000	depth	n/a
E'3	SEEG	V	n/a	n/a	E'	1000	depth	n/a
E'4	SEEG	V	n/a	n/a	E'	1000	depth	n/a
E'5	SEEG	V	n/a	n/a	E'	1000	depth	n/a
E'6	SEEG	V	n/a	n/a	E'	1000	depth	n/a
E'7	SEEG	V	n/a	n/a	E'	1000	depth	n/a
E'8	SEEG	V	n/a	n/a	E'	1000	depth	n/a
E'9	SEEG	V	n/a	n/a	E'	1000	depth	n/a
E'10	SEEG	V	n/a	n/a	E'	1000	depth	n/a
E'11	SEEG	V	n/a	n/a	E'	1000	depth	n/a
E'12	SEEG	V	n/a	n/a	E'	1000	depth	n/a
E'13	SEEG	V	n/a	n/a	E'	1000	depth	n/a
E'14	SEEG	V	n/a	n/a	E'	1000	depth	n/a
E'15	SEEG	V	n/a	n/a	E'	1000	depth	n/a
F'1	SEEG	V	n/a	n/a	F'	1000	depth	n/a
F'2	SEEG	V	n/a	n/a	F'	1000	depth	n/a
F'3	SEEG	V	n/a	n/a	F'	1000	depth	n/a
F'4	SEEG	V	n/a	n/a	F'	1000	depth	n/a
F'5	SEEG	V	n/a	n/a	F'	1000	depth	n/a
F'6	SEEG	V	n/a	n/a	F'	1000	depth	n/a
F'7	SEEG	V	n/a	n/a	F'	1000	depth	n/a
F'8	SEEG	V	n/a	n/a	F'	1000	depth	n/a
F'9	SEEG	V	n/a	n/a	F'	1000	depth	n/a
F'10	SEEG	V	n/a	n/a	F'	1000	depth	n/a
F'11	SEEG	V	n/a	n/a	F'	1000	depth	n/a
F'12	SEEG	V	n/a	n/a	F'	1000	depth	n/a
F'13	SEEG	V	n/a	n/a	F'	1000	depth	n/a
F'14	SEEG	V	n/a	n/a	F'	1000	depth	n/a
F'15	SEEG	V	n/a	n/a	F'	1000	depth	n/a
G'1	SEEG	V	n/a	n/a	G'	1000	depth	n/a
G'2	SEEG	V	n/a	n/a	G'	1000	depth	n/a
G'3	SEEG	V	n/a	n/a	G'	1000	depth	n/a
G'4	SEEG	V	n/a	n/a	G'	1000	depth	n/a
G'5	SEEG	V	n/a	n/a	G'	1000	depth	n/a
G'6	SEEG	V	n/a	n/a	G'	1000	depth	n/a
G'7	SEEG	V	n/a	n/a	G'	1000	depth	n/a
G'8	SEEG	V	n/a	n/a	G'	1000	depth	n/a
G'9	SEEG	V	n/a	n/a	G'	1000	depth	n/a
G'10	SEEG	V	n/a	n/a	G'	1000	depth	n/a
G'11	SEEG	V	n/a	n/a	G'	1000	depth	n/a
G'12	SEEG	V	n/a	n/a	G'	1000	depth	n/a
G'13	SEEG	V	n/a	n/a	G'	1000	depth	n/a
G'14	SEEG	V	n/a	n/a	G'	1000	depth	n/a
G'15	SEEG	V	n/a	n/a	G'	1000	depth	n/a
H'1	SEEG	V	n/a	n/a	H'	1000	depth	n/a
H'2	SEEG	V	n/a	n/a	H'	1000	depth	n/a
H'3	SEEG	V	n/a	n/a	H'	1000	depth	n/a
H'4	SEEG	V	n/a	n/a	H'	1000	depth	n/a
H'5	SEEG	V	n/a	n/a	H'	1000	depth	n/a
H'6	SEEG	V	n/a	n/a	H'	1000	depth	n/a
H'7	SEEG	V	n/a	n/a	H'	1000	depth	n/a
H'8	SEEG	V	n/a	n/a	H'	1000	depth	n/a
H'9	SEEG	V	n/a	n/a	H'	1000	depth	n/a
H'10	SEEG	V	n/a	n/a	H'	1000	depth	n/a
H'11	SEEG	V	n/a	n/a	H'	1000	depth	n/a
H'12	SEEG	V	n/a	n/a	H'	1000	depth	n/a
I'1	SEEG	V	n/a	n/a	I'	1000	depth	n/a
I'2	SEEG	V	n/a	n/a	I'	1000	depth	n/a
I'3	SEEG	V	n/a	n/a	I'	1000	depth	n/a
I'4	SEEG	V	n/a	n/a	I'	1000	depth	n/a
I'5	SEEG	V	n/a	n/a	I'	1000	depth	n/a
I'6	SEEG	V	n/a	n/a	I'	1000	depth	n/a
I'7	SEEG	V	n/a	n/a	I'	1000	depth	n/a
I'8	SEEG	V	n/a	n/a	I'	1000	depth	n/a
J'1	SEEG	V	n/a	n/a	J'	1000	depth	n/a
J'2	SEEG	V	n/a	n/a	J'	1000	depth	n/a
J'3	SEEG	V	n/a	n/a	J'	1000	depth	n/a
J'4	SEEG	V	n/a	n/a	J'	1000	depth	n/a
J'5	SEEG	V	n/a	n/a	J'	1000	depth	n/a
J'6	SEEG	V	n/a	n/a	J'	1000	depth	n/a
J'7	SEEG	V	n/a	n/a	J'	1000	depth	n/a
J'8	SEEG	V	n/a	n/a	J'	1000	depth	n/a
J'9	SEEG	V	n/a	n/a	J'	1000	depth	n/a
J'10	SEEG	V	n/a	n/a	J'	1000	depth	n/a
J'11	SEEG	V	n/a	n/a	J'	1000	depth	n/a
J'12	SEEG	V	n/a	n/a	J'	1000	depth	n/a
J'13	SEEG	V	n/a	n/a	J'	1000	depth	n/a
J'14	SEEG	V	n/a	n/a	J'	1000	depth	n/a
J'15	SEEG	V	n/a	n/a	J'	1000	depth	n/a
K'1	SEEG	V	n/a	n/a	K'	1000	depth	n/a
K'2	SEEG	V	n/a	n/a	K'	1000	depth	n/a
K'3	SEEG	V	n/a	n/a	K'	1000	depth	n/a
K'4	SEEG	V	n/a	n/a	K'	1000	depth	n/a
K'5	SEEG	V	n/a	n/a	K'	1000	depth	n/a
K'6	SEEG	V	n/a	n/a	K'	1000	depth	n/a
K'7	SEEG	V	n/a	n/a	K'	1000	depth	n/a
K'8	SEEG	V	n/a	n/a	K'	1000	depth	n/a
K'9	SEEG	V	n/a	n/a	K'	1000	depth	n/a
K'10	SEEG	V	n/a	n/a	K'	1000	depth	n/a
L'1	SEEG	V	n/a	n/a	L'	1000	depth	n/a
L'2	SEEG	V	n/a	n/a	L'	1000	depth	n/a
L'3	SEEG	V	n/a	n/a	L'	1000	depth	n/a
L'4	SEEG	V	n/a	n/a	L'	1000	depth	n/a
L'5	SEEG	V	n/a	n/a	L'	1000	depth	n/a
L'6	SEEG	V	n/a	n/a	L'	1000	depth	n/a
L'7	SEEG	V	n/a	n/a	L'	1000	depth	n/a
L'8	SEEG	V	n/a	n/a	L'	1000	depth	n/a
L'9	SEEG	V	n/a	n/a	L'	1000	depth	n/a
L'10	SEEG	V	n/a	n/a	L'	1000	depth	n/a
L'11	SEEG	V	n/a	n/a	L'	1000	depth	n/a
L'12	SEEG	V	n/a	n/a	L'	1000	depth	n/a
L'13	SEEG	V	n/a	n/a	L'	1000	depth	n/a
L'14	SEEG	V	n/a	n/a	L'	1000	depth	n/a
L'15	SEEG	V	n/a	n/a	L'	1000	depth	n/a
M'1	SEEG	V	n/a	n/a	M'	1000	depth	n/a
M'2	SEEG	V	n/a	n/a	M'	1000	depth	n/a
M'3	SEEG	V	n/a	n/a	M'	1000	depth	n/a
M'4	SEEG	V	n/a	n/a	M'	1000	depth	n/a
M'5	SEEG	V	n/a	n/a	M'	1000	depth	n/a
M'6	SEEG	V	n/a	n/a	M'	1000	depth	n/a
M'7	SEEG	V	n/a	n/a	M'	1000	depth	n/a
M'8	SEEG	V	n/a	n/a	M'	1000	depth	n/a
