name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
J-11-J-12	SEEG	V	n/a	n/a	bipolar	J	1000	depth	n/a
J-12-J-13	SEEG	V	n/a	n/a	bipolar	J	1000	depth	n/a
J-13-J-14	SEEG	V	n/a	n/a	bipolar	J	1000	depth	n/a
J-14-J-15	SEEG	V	n/a	n/a	bipolar	J	1000	depth	n/a
J-15-J-16	SEEG	V	n/a	n/a	bipolar	J	1000	depth	n/a
J-16-J-17	SEEG	V	n/a	n/a	bipolar	J	1000	depth	n/a
J-17-J-18	SEEG	V	n/a	n/a	bipolar	J	1000	depth	n/a
K-1-K-2	SEEG	V	n/a	n/a	bipolar	K	1000	depth	n/a
K-2-K-3	SEEG	V	n/a	n/a	bipolar	K	1000	depth	n/a
K-3-K-4	SEEG	V	n/a	n/a	bipolar	K	1000	depth	n/a
K-4-K-5	SEEG	V	n/a	n/a	bipolar	K	1000	depth	n/a
K-5-K-6	SEEG	V	n/a	n/a	bipolar	K	1000	depth	n/a
K-8-K-9	SEEG	V	n/a	n/a	bipolar	K	1000	depth	n/a
K-10-K-9	SEEG	V	n/a	n/a	bipolar	K	1000	depth	n/a
K-10-K-11	SEEG	V	n/a	n/a	bipolar	K	1000	depth	n/a
K-11-K-12	SEEG	V	n/a	n/a	bipolar	K	1000	depth	n/a
L-1-L-2	SEEG	V	n/a	n/a	bipolar	L	1000	depth	n/a
L-2-L-3	SEEG	V	n/a	n/a	bipolar	L	1000	depth	n/a
L-3-L-4	SEEG	V	n/a	n/a	bipolar	L	1000	depth	n/a
L-6-L-7	SEEG	V	n/a	n/a	bipolar	L	1000	depth	n/a
L-7-L-8	SEEG	V	n/a	n/a	bipolar	L	1000	depth	n/a
L-8-L-9	SEEG	V	n/a	n/a	bipolar	L	1000	depth	n/a
L-10-L-11	SEEG	V	n/a	n/a	bipolar	L	1000	depth	n/a
L-10-L-9	SEEG	V	n/a	n/a	bipolar	L	1000	depth	n/a
L-11-L-12	SEEG	V	n/a	n/a	bipolar	L	1000	depth	n/a
L-12-L-13	SEEG	V	n/a	n/a	bipolar	L	1000	depth	n/a
L-13-L-14	SEEG	V	n/a	n/a	bipolar	L	1000	depth	n/a
L-14-L-15	SEEG	V	n/a	n/a	bipolar	L	1000	depth	n/a
M-1-M-2	SEEG	V	n/a	n/a	bipolar	M	1000	depth	n/a
M-2-M-3	SEEG	V	n/a	n/a	bipolar	M	1000	depth	n/a
M-3-M-4	SEEG	V	n/a	n/a	bipolar	M	1000	depth	n/a
M-6-M-7	SEEG	V	n/a	n/a	bipolar	M	1000	depth	n/a
M-7-M-8	SEEG	V	n/a	n/a	bipolar	M	1000	depth	n/a
M-8-M-9	SEEG	V	n/a	n/a	bipolar	M	1000	depth	n/a
M-10-M-9	SEEG	V	n/a	n/a	bipolar	M	1000	depth	n/a
M-10-M-11	SEEG	V	n/a	n/a	bipolar	M	1000	depth	n/a
M-13-M-14	SEEG	V	n/a	n/a	bipolar	M	1000	depth	n/a
M-14-M-15	SEEG	V	n/a	n/a	bipolar	M	1000	depth	n/a
N-1-N-2	SEEG	V	n/a	n/a	bipolar	N	1000	depth	n/a
N-2-N-3	SEEG	V	n/a	n/a	bipolar	N	1000	depth	n/a
N-3-N-4	SEEG	V	n/a	n/a	bipolar	N	1000	depth	n/a
N-6-N-7	SEEG	V	n/a	n/a	bipolar	N	1000	depth	n/a
N-7-N-8	SEEG	V	n/a	n/a	bipolar	N	1000	depth	n/a
N-8-N-9	SEEG	V	n/a	n/a	bipolar	N	1000	depth	n/a
N-10-N-11	SEEG	V	n/a	n/a	bipolar	N	1000	depth	n/a
N-10-N-9	SEEG	V	n/a	n/a	bipolar	N	1000	depth	n/a
N-13-N-14	SEEG	V	n/a	n/a	bipolar	N	1000	depth	n/a
N-14-N-15	SEEG	V	n/a	n/a	bipolar	N	1000	depth	n/a
O-1-O-2	SEEG	V	n/a	n/a	bipolar	O	1000	depth	n/a
O-2-O-3	SEEG	V	n/a	n/a	bipolar	O	1000	depth	n/a
O-3-O-4	SEEG	V	n/a	n/a	bipolar	O	1000	depth	n/a
O-6-O-7	SEEG	V	n/a	n/a	bipolar	O	1000	depth	n/a
O-7-O-8	SEEG	V	n/a	n/a	bipolar	O	1000	depth	n/a
O-8-O-9	SEEG	V	n/a	n/a	bipolar	O	1000	depth	n/a
O-10-O-9	SEEG	V	n/a	n/a	bipolar	O	1000	depth	n/a
O-10-O-11	SEEG	V	n/a	n/a	bipolar	O	1000	depth	n/a
O-13-O-14	SEEG	V	n/a	n/a	bipolar	O	1000	depth	n/a
O-14-O-15	SEEG	V	n/a	n/a	bipolar	O	1000	depth	n/a
P-1-P-2	SEEG	V	n/a	n/a	bipolar	P	1000	depth	n/a
P-2-P-3	SEEG	V	n/a	n/a	bipolar	P	1000	depth	n/a
P-3-P-4	SEEG	V	n/a	n/a	bipolar	P	1000	depth	n/a
P-4-P-5	SEEG	V	n/a	n/a	bipolar	P	1000	depth	n/a
P-5-P-6	SEEG	V	n/a	n/a	bipolar	P	1000	depth	n/a
P-6-P-7	SEEG	V	n/a	n/a	bipolar	P	1000	depth	n/a
P-7-P-8	SEEG	V	n/a	n/a	bipolar	P	1000	depth	n/a
P-8-P-9	SEEG	V	n/a	n/a	bipolar	P	1000	depth	n/a
P-10-P-9	SEEG	V	n/a	n/a	bipolar	P	1000	depth	n/a
P-10-P-11	SEEG	V	n/a	n/a	bipolar	P	1000	depth	n/a
P-11-P-12	SEEG	V	n/a	n/a	bipolar	P	1000	depth	n/a
P-12-P-13	SEEG	V	n/a	n/a	bipolar	P	1000	depth	n/a
P-13-P-14	SEEG	V	n/a	n/a	bipolar	P	1000	depth	n/a
P-14-P-15	SEEG	V	n/a	n/a	bipolar	P	1000	depth	n/a
Q-1-Q-2	SEEG	V	n/a	n/a	bipolar	Q	1000	depth	n/a
Q-2-Q-3	SEEG	V	n/a	n/a	bipolar	Q	1000	depth	n/a
Q-3-Q-4	SEEG	V	n/a	n/a	bipolar	Q	1000	depth	n/a
Q-4-Q-5	SEEG	V	n/a	n/a	bipolar	Q	1000	depth	n/a
Q-5-Q-6	SEEG	V	n/a	n/a	bipolar	Q	1000	depth	n/a
Q-6-Q-7	SEEG	V	n/a	n/a	bipolar	Q	1000	depth	n/a
Q-7-Q-8	SEEG	V	n/a	n/a	bipolar	Q	1000	depth	n/a
Q-8-Q-9	SEEG	V	n/a	n/a	bipolar	Q	1000	depth	n/a
Q-10-Q-9	SEEG	V	n/a	n/a	bipolar	Q	1000	depth	n/a
