name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
A'1	SEEG	V	n/a	n/a	A'	2048	depth	n/a
A'2	SEEG	V	n/a	n/a	A'	2048	depth	n/a
A'3	SEEG	V	n/a	n/a	A'	2048	depth	n/a
A'4	SEEG	V	n/a	n/a	A'	2048	depth	n/a
A'5	SEEG	V	n/a	n/a	A'	2048	depth	n/a
A'6	SEEG	V	n/a	n/a	A'	2048	depth	n/a
A'7	SEEG	V	n/a	n/a	A'	2048	depth	n/a
A'8	SEEG	V	n/a	n/a	A'	2048	depth	n/a
A'9	SEEG	V	n/a	n/a	A'	2048	depth	n/a
A'10	SEEG	V	n/a	n/a	A'	2048	depth	n/a
A'11	SEEG	V	n/a	n/a	A'	2048	depth	n/a
A'12	SEEG	V	n/a	n/a	A'	2048	depth	n/a
B'1	SEEG	V	n/a	n/a	B'	2048	depth	n/a
B'2	SEEG	V	n/a	n/a	B'	2048	depth	n/a
B'3	SEEG	V	n/a	n/a	B'	2048	depth	n/a
B'4	SEEG	V	n/a	n/a	B'	2048	depth	n/a
B'5	SEEG	V	n/a	n/a	B'	2048	depth	n/a
B'6	SEEG	V	n/a	n/a	B'	2048	depth	n/a
B'7	SEEG	V	n/a	n/a	B'	2048	depth	n/a
B'8	SEEG	V	n/a	n/a	B'	2048	depth	n/a
B'9	SEEG	V	n/a	n/a	B'	2048	depth	n/a
B'10	SEEG	V	n/a	n/a	B'	2048	depth	n/a
B'11	SEEG	V	n/a	n/a	B'	2048	depth	n/a
B'12	SEEG	V	n/a	n/a	B'	2048	depth	n/a
C'1	SEEG	V	n/a	n/a	C'	2048	depth	n/a
C'2	SEEG	V	n/a	n/a	C'	2048	depth	n/a
C'3	SEEG	V	n/a	n/a	C'	2048	depth	n/a
C'4	SEEG	V	n/a	n/a	C'	2048	depth	n/a
C'5	SEEG	V	n/a	n/a	C'	2048	depth	n/a
C'6	SEEG	V	n/a	n/a	C'	2048	depth	n/a
C'7	SEEG	V	n/a	n/a	C'	2048	depth	n/a
C'8	SEEG	V	n/a	n/a	C'	2048	depth	n/a
C'9	SEEG	V	n/a	n/a	C'	2048	depth	n/a
C'10	SEEG	V	n/a	n/a	C'	2048	depth	n/a
C'11	SEEG	V	n/a	n/a	C'	2048	depth	n/a
C'12	SEEG	V	n/a	n/a	C'	2048	depth	n/a
E'1	SEEG	V	n/a	n/a	E'	2048	depth	n/a
E'2	SEEG	V	n/a	n/a	E'	2048	depth	n/a
E'3	SEEG	V	n/a	n/a	E'	2048	depth	n/a
E'4	SEEG	V	n/a	n/a	E'	2048	depth	n/a
E'5	SEEG	V	n/a	n/a	E'	2048	depth	n/a
E'6	SEEG	V	n/a	n/a	E'	2048	depth	n/a
E'7	SEEG	V	n/a	n/a	E'	2048	depth	n/a
E'8	SEEG	V	n/a	n/a	E'	2048	depth	n/a
E'9	SEEG	V	n/a	n/a	E'	2048	depth	n/a
E'10	SEEG	V	n/a	n/a	E'	2048	depth	n/a
F'1	SEEG	V	n/a	n/a	F'	2048	depth	n/a
F'2	SEEG	V	n/a	n/a	F'	2048	depth	n/a
F'3	SEEG	V	n/a	n/a	F'	2048	depth	n/a
F'4	SEEG	V	n/a	n/a	F'	2048	depth	n/a
F'5	SEEG	V	n/a	n/a	F'	2048	depth	n/a
F'6	SEEG	V	n/a	n/a	F'	2048	depth	n/a
F'7	SEEG	V	n/a	n/a	F'	2048	depth	n/a
F'8	SEEG	V	n/a	n/a	F'	2048	depth	n/a
F'9	SEEG	V	n/a	n/a	F'	2048	depth	n/a
F'10	SEEG	V	n/a	n/a	F'	2048	depth	n/a
G'1	SEEG	V	n/a	n/a	G'	2048	depth	n/a
G'2	SEEG	V	n/a	n/a	G'	2048	depth	n/a
G'3	SEEG	V	n/a	n/a	G'	2048	depth	n/a
G'4	SEEG	V	n/a	n/a	G'	2048	depth	n/a
G'5	SEEG	V	n/a	n/a	G'	2048	depth	n/a
G'6	SEEG	V	n/a	n/a	G'	2048	depth	n/a
G'7	SEEG	V	n/a	n/a	G'	2048	depth	n/a
G'8	SEEG	V	n/a	n/a	G'	2048	depth	n/a
G'9	SEEG	V	n/a	n/a	G'	2048	depth	n/a
G'10	SEEG	V	n/a	n/a	G'	2048	depth	n/a
H'1	SEEG	V	n/a	n/a	H'	2048	depth	n/a
H'2	SEEG	V	n/a	n/a	H'	2048	depth	n/a
H'3	SEEG	V	n/a	n/a	H'	2048	depth	n/a
H'4	SEEG	V	n/a	n/a	H'	2048	depth	n/a
H'5	SEEG	V	n/a	n/a	H'	2048	depth	n/a
H'6	SEEG	V	n/a	n/a	H'	2048	depth	n/a
H'7	SEEG	V	n/a	n/a	H'	2048	depth	n/a
H'8	SEEG	V	n/a	n/a	H'	2048	depth	n/a
H'9	SEEG	V	n/a	n/a	H'	2048	depth	n/a
H'10	SEEG	V	n/a	n/a	H'	2048	depth	n/a
H'11	SEEG	V	n/a	n/a	H'	2048	depth	n/a
H'12	SEEG	V	n/a	n/a	H'	2048	depth	n/a
H'13	SEEG	V	n/a	n/a	H'	2048	depth	n/a
H'14	SEEG	V	n/a	n/a	H'	2048	depth	n/a
H'15	SEEG	V	n/a	n/a	H'	2048	depth	n/a
I'1	SEEG	V	n/a	n/a	I'	2048	depth	n/a
I'2	SEEG	V	n/a	n/a	I'	2048	depth	n/a
I'3	SEEG	V	n/a	n/a	I'	2048	depth	n/a
I'4	SEEG	V	n/a	n/a	I'	2048	depth	n/a
I'5	SEEG	V	n/a	n/a	I'	2048	depth	n/a
I'6	SEEG	V	n/a	n/a	I'	2048	depth	n/a
I'7	SEEG	V	n/a	n/a	I'	2048	depth	n/a
I'8	SEEG	V	n/a	n/a	I'	2048	depth	n/a
I'9	SEEG	V	n/a	n/a	I'	2048	depth	n/a
I'10	SEEG	V	n/a	n/a	I'	2048	depth	n/a
I'11	SEEG	V	n/a	n/a	I'	2048	depth	n/a
I'12	SEEG	V	n/a	n/a	I'	2048	depth	n/a
I'13	SEEG	V	n/a	n/a	I'	2048	depth	n/a
I'14	SEEG	V	n/a	n/a	I'	2048	depth	n/a
I'15	SEEG	V	n/a	n/a	I'	2048	depth	n/a
J'1	SEEG	V	n/a	n/a	J'	2048	depth	n/a
J'2	SEEG	V	n/a	n/a	J'	2048	depth	n/a
J'3	SEEG	V	n/a	n/a	J'	2048	depth	n/a
J'4	SEEG	V	n/a	n/a	J'	2048	depth	n/a
J'5	SEEG	V	n/a	n/a	J'	2048	depth	n/a
J'6	SEEG	V	n/a	n/a	J'	2048	depth	n/a
J'7	SEEG	V	n/a	n/a	J'	2048	depth	n/a
J'8	SEEG	V	n/a	n/a	J'	2048	depth	n/a
J'9	SEEG	V	n/a	n/a	J'	2048	depth	n/a
J'10	SEEG	V	n/a	n/a	J'	2048	depth	n/a
J'11	SEEG	V	n/a	n/a	J'	2048	depth	n/a
J'12	SEEG	V	n/a	n/a	J'	2048	depth	n/a
K'1	SEEG	V	n/a	n/a	K'	2048	depth	n/a
K'2	SEEG	V	n/a	n/a	K'	2048	depth	n/a
K'3	SEEG	V	n/a	n/a	K'	2048	depth	n/a
K'4	SEEG	V	n/a	n/a	K'	2048	depth	n/a
K'5	SEEG	V	n/a	n/a	K'	2048	depth	n/a
K'6	SEEG	V	n/a	n/a	K'	2048	depth	n/a
K'7	SEEG	V	n/a	n/a	K'	2048	depth	n/a
K'8	SEEG	V	n/a	n/a	K'	2048	depth	n/a
K'9	SEEG	V	n/a	n/a	K'	2048	depth	n/a
K'10	SEEG	V	n/a	n/a	K'	2048	depth	n/a
K'11	SEEG	V	n/a	n/a	K'	2048	depth	n/a
K'12	SEEG	V	n/a	n/a	K'	2048	depth	n/a
L'1	SEEG	V	n/a	n/a	L'	2048	depth	n/a
L'2	SEEG	V	n/a	n/a	L'	2048	depth	n/a
L'3	SEEG	V	n/a	n/a	L'	2048	depth	n/a
L'4	SEEG	V	n/a	n/a	L'	2048	depth	n/a
L'5	SEEG	V	n/a	n/a	L'	2048	depth	n/a
L'6	SEEG	V	n/a	n/a	L'	2048	depth	n/a
L'7	SEEG	V	n/a	n/a	L'	2048	depth	n/a
L'8	SEEG	V	n/a	n/a	L'	2048	depth	n/a
L'9	SEEG	V	n/a	n/a	L'	2048	depth	n/a
L'10	SEEG	V	n/a	n/a	L'	2048	depth	n/a
M'1	SEEG	V	n/a	n/a	M'	2048	depth	n/a
M'2	SEEG	V	n/a	n/a	M'	2048	depth	n/a
M'3	SEEG	V	n/a	n/a	M'	2048	depth	n/a
M'4	SEEG	V	n/a	n/a	M'	2048	depth	n/a
M'5	SEEG	V	n/a	n/a	M'	2048	depth	n/a
M'6	SEEG	V	n/a	n/a	M'	2048	depth	n/a
M'7	SEEG	V	n/a	n/a	M'	2048	depth	n/a
M'8	SEEG	V	n/a	n/a	M'	2048	depth	n/a
M'9	SEEG	V	n/a	n/a	M'	2048	depth	n/a
M'10	SEEG	V	n/a	n/a	M'	2048	depth	n/a
N'1	SEEG	V	n/a	n/a	N'	2048	depth	n/a
N'2	SEEG	V	n/a	n/a	N'	2048	depth	n/a
N'3	SEEG	V	n/a	n/a	N'	2048	depth	n/a
N'4	SEEG	V	n/a	n/a	N'	2048	depth	n/a
N'5	SEEG	V	n/a	n/a	N'	2048	depth	n/a
N'6	SEEG	V	n/a	n/a	N'	2048	depth	n/a
N'7	SEEG	V	n/a	n/a	N'	2048	depth	n/a
N'8	SEEG	V	n/a	n/a	N'	2048	depth	n/a
N'9	SEEG	V	n/a	n/a	N'	2048	depth	n/a
N'10	SEEG	V	n/a	n/a	N'	2048	depth	n/a
O'1	SEEG	V	n/a	n/a	O'	2048	depth	n/a
O'2	SEEG	V	n/a	n/a	O'	2048	depth	n/a
O'3	SEEG	V	n/a	n/a	O'	2048	depth	n/a
O'4	SEEG	V	n/a	n/a	O'	2048	depth	n/a
O'5	SEEG	V	n/a	n/a	O'	2048	depth	n/a
O'6	SEEG	V	n/a	n/a	O'	2048	depth	n/a
O'7	SEEG	V	n/a	n/a	O'	2048	depth	n/a
O'8	SEEG	V	n/a	n/a	O'	2048	depth	n/a
O'9	SEEG	V	n/a	n/a	O'	2048	depth	n/a
O'10	SEEG	V	n/a	n/a	O'	2048	depth	n/a
O'11	SEEG	V	n/a	n/a	O'	2048	depth	n/a
O'12	SEEG	V	n/a	n/a	O'	2048	depth	n/a
O'13	SEEG	V	n/a	n/a	O'	2048	depth	n/a
O'14	SEEG	V	n/a	n/a	O'	2048	depth	n/a
O'15	SEEG	V	n/a	n/a	O'	2048	depth	n/a
P'1	SEEG	V	n/a	n/a	P'	2048	depth	n/a
P'2	SEEG	V	n/a	n/a	P'	2048	depth	n/a
P'3	SEEG	V	n/a	n/a	P'	2048	depth	n/a
P'4	SEEG	V	n/a	n/a	P'	2048	depth	n/a
P'5	SEEG	V	n/a	n/a	P'	2048	depth	n/a
P'6	SEEG	V	n/a	n/a	P'	2048	depth	n/a
P'7	SEEG	V	n/a	n/a	P'	2048	depth	n/a
P'8	SEEG	V	n/a	n/a	P'	2048	depth	n/a
P'9	SEEG	V	n/a	n/a	P'	2048	depth	n/a
P'10	SEEG	V	n/a	n/a	P'	2048	depth	n/a
Q'1	SEEG	V	n/a	n/a	Q'	2048	depth	n/a
Q'2	SEEG	V	n/a	n/a	Q'	2048	depth	n/a
Q'3	SEEG	V	n/a	n/a	Q'	2048	depth	n/a
Q'4	SEEG	V	n/a	n/a	Q'	2048	depth	n/a
Q'5	SEEG	V	n/a	n/a	Q'	2048	depth	n/a
Q'6	SEEG	V	n/a	n/a	Q'	2048	depth	n/a
Q'7	SEEG	V	n/a	n/a	Q'	2048	depth	n/a
Q'8	SEEG	V	n/a	n/a	Q'	2048	depth	n/a
R'1	SEEG	V	n/a	n/a	R'	2048	depth	n/a
R'2	SEEG	V	n/a	n/a	R'	2048	depth	n/a
R'3	SEEG	V	n/a	n/a	R'	2048	depth	n/a
R'4	SEEG	V	n/a	n/a	R'	2048	depth	n/a
R'5	SEEG	V	n/a	n/a	R'	2048	depth	n/a
R'6	SEEG	V	n/a	n/a	R'	2048	depth	n/a
R'7	SEEG	V	n/a	n/a	R'	2048	depth	n/a
R'8	SEEG	V	n/a	n/a	R'	2048	depth	n/a
R'9	SEEG	V	n/a	n/a	R'	2048	depth	n/a
R'10	SEEG	V	n/a	n/a	R'	2048	depth	n/a
R'11	SEEG	V	n/a	n/a	R'	2048	depth	n/a
R'12	SEEG	V	n/a	n/a	R'	2048	depth	n/a
R'13	SEEG	V	n/a	n/a	R'	2048	depth	n/a
R'14	SEEG	V	n/a	n/a	R'	2048	depth	n/a
R'15	SEEG	V	n/a	n/a	R'	2048	depth	n/a
S'1	SEEG	V	n/a	n/a	S'	2048	depth	n/a
S'2	SEEG	V	n/a	n/a	S'	2048	depth	n/a
S'3	SEEG	V	n/a	n/a	S'	2048	depth	n/a
S'4	SEEG	V	n/a	n/a	S'	2048	depth	n/a
S'5	SEEG	V	n/a	n/a	S'	2048	depth	n/a
S'6	SEEG	V	n/a	n/a	S'	2048	depth	n/a
S'7	SEEG	V	n/a	n/a	S'	2048	depth	n/a
S'8	SEEG	V	n/a	n/a	S'	2048	depth	n/a
S'9	SEEG	V	n/a	n/a	S'	2048	depth	n/a
S'10	SEEG	V	n/a	n/a	S'	2048	depth	n/a
S'11	SEEG	V	n/a	n/a	S'	2048	depth	n/a
S'12	SEEG	V	n/a	n/a	S'	2048	depth	n/a
S'13	SEEG	V	n/a	n/a	S'	2048	depth	n/a
S'14	SEEG	V	n/a	n/a	S'	2048	depth	n/a
S'15	SEEG	V	n/a	n/a	S'	2048	depth	n/a
